"AllReleasesYear","AllReleasesFreq","NumberOfAllReleses","ModerateReleasesFreq","NumberOfModeraeReleases","NumberOfAllTrees"
"1889",7.14,1,0,0,14
"1893",7.14,1,0,0,14
"1895",14.29,2,0,0,14
"1897",7.14,1,0,0,14
"1898",7.14,1,0,0,14
"1913",6.67,1,0,0,15
"1924",6.67,1,0,0,15
"1926",6.67,1,0,0,15
"1927",6.67,1,0,0,15
"1928",6.67,1,0,0,15
"1952",6.67,1,0,0,15
"1962",6.67,1,0,0,15
"1965",6.67,1,0,0,15
"1966",6.67,1,0,0,15
"1967",6.67,1,0,0,15
"1973",6.67,1,0,0,15
"1977",6.67,1,0,0,15
"1978",6.67,1,0,0,15
"1981",6.67,1,0,0,15
"2001",6.67,1,0,0,15
"2002",6.67,1,0,0,15
"2003",20,3,0,0,15
"2004",6.67,1,0,0,15
